"Area","Item","Unit","Year","Flag","CO2","CH4","N2O"
"United States of America","Burning - Crop residues","gigagrams","2010","A",3269.6091,2364.628,904.9811
"United States of America","Burning - Crop residues","gigagrams","2011","A",3304.9898,2390.2158,914.774
"United States of America","Burning - Crop residues","gigagrams","2012","A",3458.1032,2500.9496,957.1536
"United States of America","Burning - Crop residues","gigagrams","2013","A",3411.7992,2467.4619,944.3373
"United States of America","Burning - Crop residues","gigagrams","2014","A",3295.4823,2383.3399,912.1424
"United States of America","Burning - Crop residues","gigagrams","2015","A",3222.8863,2330.8374,892.0489
"United States of America","Burning - Crop residues","gigagrams","2016","A",3381.4862,2445.5392,935.9471
"United States of America","Burning - Crop residues","gigagrams","2017","A",3161.0547,2286.1199,874.9348
"United States of America","Burning - Crop residues","gigagrams","2030","A",3558.6246,2573.6482,984.9765
"United States of America","Burning - Crop residues","gigagrams","2050","A",3671.484,2655.2697,1016.2143
"United States of America","Burning - Savanna","gigagrams","1961",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1962",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1963",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1964",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1965",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1966",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1967",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1968",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1969",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1970",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1971",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1972",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1973",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1974",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1975",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1976",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1977",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1978",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1979",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1980",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1981",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1982",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1983",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1984",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1985",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1986",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1987",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1988",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1989",NA,NA,NA,NA
"United States of America","Burning - Savanna","gigagrams","1990","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","1991","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","1992","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","1993","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","1994","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","1995","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","1996","A",1600.9983,681.9069,919.0914
"United States of America","Burning - Savanna","gigagrams","1997","A",715.251,304.6439,410.6071
"United States of America","Burning - Savanna","gigagrams","1998","A",1157.5214,493.0185,664.503
"United States of America","Burning - Savanna","gigagrams","1999","A",1217.2078,518.4405,698.7673
"United States of America","Burning - Savanna","gigagrams","2000","A",1309.2003,557.6223,751.5779
"United States of America","Burning - Savanna","gigagrams","2001","A",465.5735,200.3737,265.1997
"United States of America","Burning - Savanna","gigagrams","2002","A",1270.7835,546.1467,724.6368
"United States of America","Burning - Savanna","gigagrams","2003","A",1232.7451,529.4977,703.2474
"United States of America","Burning - Savanna","gigagrams","2004","A",1878.2116,810.3868,1067.8248
"United States of America","Burning - Savanna","gigagrams","2005","A",2776.1104,1193.1168,1582.9936
"United States of America","Burning - Savanna","gigagrams","2006","A",1665.8288,716.3776,949.4513
"United States of America","Burning - Savanna","gigagrams","2007","A",1730.9668,743.2718,987.695
"United States of America","Burning - Savanna","gigagrams","2008","A",1084.5696,466.4336,618.136
"United States of America","Burning - Savanna","gigagrams","2009","A",1310.0404,563.9764,746.064
"United States of America","Burning - Savanna","gigagrams","2010","A",746.6125,320.9847,425.6278
"United States of America","Burning - Savanna","gigagrams","2011","A",2513.567,1078.5748,1434.9922
"United States of America","Burning - Savanna","gigagrams","2012","A",1397.0151,601.4249,795.5902
"United States of America","Burning - Savanna","gigagrams","2013","A",683.6366,294.1771,389.4595
"United States of America","Burning - Savanna","gigagrams","2014","A",826.2067,355.6407,470.566
"United States of America","Burning - Savanna","gigagrams","2015","A",1427.0538,615.5705,811.4833
"United States of America","Burning - Savanna","gigagrams","2016","A",1114.5092,479.9832,634.526
"United States of America","Burning - Savanna","gigagrams","2017","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","2030","A",1339.2195,574.8366,764.3829
"United States of America","Burning - Savanna","gigagrams","2050","A",1339.2195,574.8366,764.3829
"United States of America","Agriculture total","gigagrams","1961","A",284359.5705,184205.6845,100153.8859
"United States of America","Agriculture total","gigagrams","1962","A",292439.3932,187880.5697,104558.8235
"United States of America","Agriculture total","gigagrams","1963","A",300768.4096,190957.9691,109810.4405
"United States of America","Agriculture total","gigagrams","1964","A",305329.985,192724.6941,112605.291
"United States of America","Agriculture total","gigagrams","1965","A",309376.7771,190782.7608,118594.0163
"United States of America","Agriculture total","gigagrams","1966","A",310169.576,187511.163,122658.413
"United States of America","Agriculture total","gigagrams","1967","A",316755.27,187629.1772,129126.0928
"United States of America","Agriculture total","gigagrams","1968","A",318058.0876,188013.8946,130044.1929
"United States of America","Agriculture total","gigagrams","1969","A",320468.2161,187078.5887,133389.6275
"United States of America","Agriculture total","gigagrams","1970","A",324673.064,187036.1584,137636.9056
"United States of America","Agriculture total","gigagrams","1971","A",333614.3572,192011.0175,141603.3397
"United States of America","Agriculture total","gigagrams","1972","A",337987.9088,193734.0956,144253.8132
"United States of America","Agriculture total","gigagrams","1973","A",349791.4046,197312.7075,152478.6971
"United States of America","Agriculture total","gigagrams","1974","A",356189.8141,205355.935,150833.8791
"United States of America","Agriculture total","gigagrams","1975","A",374998.8305,208984.7808,166014.0497
"United States of America","Agriculture total","gigagrams","1976","A",366787.2211,201633.4643,165153.7568
"United States of America","Agriculture total","gigagrams","1977","A",356020.6976,196220.6702,159800.0274
"United States of America","Agriculture total","gigagrams","1978","A",352551.7519,191115.0777,161436.6742
"United States of America","Agriculture total","gigagrams","1979","A",350800.1777,185520.6943,165279.4834
"United States of America","Agriculture total","gigagrams","1980","A",356595.0853,189433.8222,167161.2631
"United States of America","Agriculture total","gigagrams","1981","A",361058.7741,194096.8089,166961.9651
"United States of America","Agriculture total","gigagrams","1982","A",349167.9491,192479.3181,156688.6309
"United States of America","Agriculture total","gigagrams","1983","A",347097.8062,186959.6226,160138.1837
"United States of America","Agriculture total","gigagrams","1984","A",355011.9082,187317.961,167693.9472
"United States of America","Agriculture total","gigagrams","1985","A",343022.3855,181886.0423,161136.3432
"United States of America","Agriculture total","gigagrams","1986","A",331176.767,175534.7181,155642.0489
"United States of America","Agriculture total","gigagrams","1987","A",324401.2503,170097.2528,154303.9974
"United States of America","Agriculture total","gigagrams","1988","A",319072.3108,169653.3937,149418.9171
"United States of America","Agriculture total","gigagrams","1989","A",321552.3789,165831.8711,155720.5078
"United States of America","Agriculture total","gigagrams","1990","A",333243.5121,165463.8174,167779.6947
"United States of America","Agriculture total","gigagrams","1991","A",334045.6831,166523.929,167521.7541
"United States of America","Agriculture total","gigagrams","1992","A",340710.0778,168803.0227,171907.0551
"United States of America","Agriculture total","gigagrams","1993","A",344547.373,169126.3408,175421.0322
"United States of America","Agriculture total","gigagrams","1994","A",349750.178,173031.3341,176718.8439
"United States of America","Agriculture total","gigagrams","1995","A",350698.0919,173664.636,177033.456
"United States of America","Agriculture total","gigagrams","1996","A",354479.8841,173152.3497,181327.5344
"United States of America","Agriculture total","gigagrams","1997","A",353079.7118,172461.2526,180618.4592
"United States of America","Agriculture total","gigagrams","1998","A",351936.985,170885.2208,181051.7643
"United States of America","Agriculture total","gigagrams","1999","A",348888.1019,170103.4314,178784.6705
"United States of America","Agriculture total","gigagrams","2000","A",342339.6087,167837.4242,174502.1846
"United States of America","Agriculture total","gigagrams","2001","A",342823.5285,167211.2299,175612.2986
"United States of America","Agriculture total","gigagrams","2002","A",341480.7293,166812.4574,174668.2718
"United States of America","Agriculture total","gigagrams","2003","A",346762.2362,165988.0633,180774.1729
"United States of America","Agriculture total","gigagrams","2004","A",348502.7867,166097.9739,182404.8128
"United States of America","Agriculture total","gigagrams","2005","A",347209.4419,167544.0634,179665.3785
"United States of America","Agriculture total","gigagrams","2006","A",350538.4394,167739.6391,182798.8003
"United States of America","Agriculture total","gigagrams","2007","A",353974.9678,168236.6045,185738.3633
"United States of America","Agriculture total","gigagrams","2008","A",352341.889,169663.527,182678.3619
"United States of America","Agriculture total","gigagrams","2009","A",346761.7425,167469.5866,179292.1559
"United States of America","Agriculture total","gigagrams","2010","A",348602.7547,167932.0088,180670.7459
"United States of America","Agriculture total","gigagrams","2011","A",351176.4404,164990.4202,186186.0202
"United States of America","Agriculture total","gigagrams","2012","A",347794.9391,162921.763,184873.1761
"United States of America","Agriculture total","gigagrams","2013","A",347542.124,160333.3421,187208.7819
"United States of America","Agriculture total","gigagrams","2014","A",347341.4877,160794.5553,186546.9325
"United States of America","Agriculture total","gigagrams","2015","A",346879.1939,161047.7668,185831.4271
"United States of America","Agriculture total","gigagrams","2016","A",356562.5808,166549.2275,190013.3533
"United States of America","Agriculture total","gigagrams","2017","A",355329.1803,166960.8718,188368.3084
"United States of America","Agriculture total","gigagrams","2030","A",361695.799,176085.3429,185610.4562
"United States of America","Agriculture total","gigagrams","2050","A",366640.7487,175309.4766,191331.2721
"United States of America","Agricultural Soils","gigagrams","1961","A",85091.5481,NA,85091.5481
"United States of America","Agricultural Soils","gigagrams","1962","A",89256.7842,NA,89256.7842
"United States of America","Agricultural Soils","gigagrams","1963","A",94168.1855,NA,94168.1855
"United States of America","Agricultural Soils","gigagrams","1964","A",96745.9939,NA,96745.9939
"United States of America","Agricultural Soils","gigagrams","1965","A",102834.4122,NA,102834.4122
"United States of America","Agricultural Soils","gigagrams","1966","A",107109.63,NA,107109.63
"United States of America","Agricultural Soils","gigagrams","1967","A",113392.5062,NA,113392.5062
"United States of America","Agricultural Soils","gigagrams","1968","A",114447.8119,NA,114447.8119
"United States of America","Agricultural Soils","gigagrams","1969","A",117791.1519,NA,117791.1519
"United States of America","Agricultural Soils","gigagrams","1970","A",121902.8388,NA,121902.8388
"United States of America","Agricultural Soils","gigagrams","1971","A",125352.4337,NA,125352.4337
"United States of America","Agricultural Soils","gigagrams","1972","A",127862.1083,NA,127862.1083
"United States of America","Agricultural Soils","gigagrams","1973","A",135831.1623,NA,135831.1623
"United States of America","Agricultural Soils","gigagrams","1974","A",133545.0949,NA,133545.0949
"United States of America","Agricultural Soils","gigagrams","1975","A",148522.6785,NA,148522.6785
"United States of America","Agricultural Soils","gigagrams","1976","A",148041.6642,NA,148041.6642
"United States of America","Agricultural Soils","gigagrams","1977","A",143042.2862,NA,143042.2862
"United States of America","Agricultural Soils","gigagrams","1978","A",145222.3386,NA,145222.3386
"United States of America","Agricultural Soils","gigagrams","1979","A",149329.244,NA,149329.244
"United States of America","Agricultural Soils","gigagrams","1980","A",150926.9127,NA,150926.9127
"United States of America","Agricultural Soils","gigagrams","1981","A",150400.3661,NA,150400.3661
"United States of America","Agricultural Soils","gigagrams","1982","A",140205.3266,NA,140205.3266
"United States of America","Agricultural Soils","gigagrams","1983","A",144027.9661,NA,144027.9661
"United States of America","Agricultural Soils","gigagrams","1984","A",151498.2693,NA,151498.2693
"United States of America","Agricultural Soils","gigagrams","1985","A",145214.4688,NA,145214.4688
"United States of America","Agricultural Soils","gigagrams","1986","A",140127.0113,NA,140127.0113
"United States of America","Agricultural Soils","gigagrams","1987","A",139082.585,NA,139082.585
"United States of America","Agricultural Soils","gigagrams","1988","A",134351.0397,NA,134351.0397
"United States of America","Agricultural Soils","gigagrams","1989","A",140711.0521,NA,140711.0521
"United States of America","Agricultural Soils","gigagrams","1990","A",151954.9285,NA,151954.9285
"United States of America","Agricultural Soils","gigagrams","1991","A",151539.7539,NA,151539.7539
"United States of America","Agricultural Soils","gigagrams","1992","A",155714.3477,NA,155714.3477
"United States of America","Agricultural Soils","gigagrams","1993","A",159144.0539,NA,159144.0539
"United States of America","Agricultural Soils","gigagrams","1994","A",160116.958,NA,160116.958
"United States of America","Agricultural Soils","gigagrams","1995","A",160306.9408,NA,160306.9408
"United States of America","Agricultural Soils","gigagrams","1996","A",164281.8522,NA,164281.8522
"United States of America","Agricultural Soils","gigagrams","1997","A",164114.3001,NA,164114.3001
"United States of America","Agricultural Soils","gigagrams","1998","A",164520.6127,NA,164520.6127
"United States of America","Agricultural Soils","gigagrams","1999","A",162393.7404,NA,162393.7404
"United States of America","Agricultural Soils","gigagrams","2000","A",158058.837,NA,158058.837
"United States of America","Agricultural Soils","gigagrams","2001","A",159733.1201,NA,159733.1201
"United States of America","Agricultural Soils","gigagrams","2002","A",158336.1494,NA,158336.1494
"United States of America","Agricultural Soils","gigagrams","2003","A",164505.4614,NA,164505.4614
"United States of America","Agricultural Soils","gigagrams","2004","A",165890.5388,NA,165890.5388
"United States of America","Agricultural Soils","gigagrams","2005","A",162586.2497,NA,162586.2497
"United States of America","Agricultural Soils","gigagrams","2006","A",166190.0308,NA,166190.0308
"United States of America","Agricultural Soils","gigagrams","2007","A",168861.9433,NA,168861.9433
"United States of America","Agricultural Soils","gigagrams","2008","A",166082.9648,NA,166082.9648
"United States of America","Agricultural Soils","gigagrams","2009","A",162985.949,NA,162985.949
"United States of America","Agricultural Soils","gigagrams","2010","A",164728.681,NA,164728.681
"United States of America","Agricultural Soils","gigagrams","2011","A",169287.695,NA,169287.695
"United States of America","Agricultural Soils","gigagrams","2012","A",168703.9298,NA,168703.9298
"United States of America","Agricultural Soils","gigagrams","2013","A",171633.1653,NA,171633.1653
"United States of America","Agricultural Soils","gigagrams","2014","A",170961.2318,NA,170961.2318
"United States of America","Agricultural Soils","gigagrams","2015","A",169842.9769,NA,169842.9769
"United States of America","Agricultural Soils","gigagrams","2016","A",173811.0578,NA,173811.0578
"United States of America","Agricultural Soils","gigagrams","2017","A",171886.4243,NA,171886.4243
"United States of America","Agricultural Soils","gigagrams","2030","A",167992.4689,NA,167992.4689
"United States of America","Agricultural Soils","gigagrams","2050","A",173385.9597,NA,173385.9597
