"Area","Item","Year","Area harvested","Yield","Production"
"United States of America","Almonds, with shell","1961",36138,16669,60237
"United States of America","Almonds, with shell","1962",37676,11558,43545
"United States of America","Almonds, with shell","1963",39578,13684,54159
"United States of America","Almonds, with shell","1964",41196,16517,68042
"United States of America","Almonds, with shell","1965",47469,13932,66133
"United States of America","Almonds, with shell","1966",47874,16126,77201
"United States of America","Almonds, with shell","1967",50423,13781,69490
"United States of America","Almonds, with shell","1968",54672,12362,67585
"United States of America","Almonds, with shell","1969",60297,18355,110676
"United States of America","Almonds, with shell","1970",68760,16360,112490
"United States of America","Almonds, with shell","1971",76000,15995,121563
"United States of America","Almonds, with shell","1972",80490,14088,113398
"United States of America","Almonds, with shell","1973",86440,14063,121563
"United States of America","Almonds, with shell","1974",93560,18326,171457
"United States of America","Almonds, with shell","1975",100680,14417,145149
"United States of America","Almonds, with shell","1976",104370,20252,211373
"United States of America","Almonds, with shell","1977",111890,20188,225888
"United States of America","Almonds, with shell","1978",124520,10396,129455
"United States of America","Almonds, with shell","1979",131160,21006,275511
"United States of America","Almonds, with shell","1980",132250,18137,239858
"United States of America","Almonds, with shell","1981",132010,22980,303361
"United States of America","Almonds, with shell","1982",137190,18748,257200
"United States of America","Almonds, with shell","1983",145680,12356,180000
"United States of America","Almonds, with shell","1984",154180,28473,439000
"United States of America","Almonds, with shell","1985",165510,21268,352000
"United States of America","Almonds, with shell","1986",168350,11250,189400
"United States of America","Almonds, with shell","1987",168750,29630,5e+05
"United States of America","Almonds, with shell","1988",169560,26356,446900
"United States of America","Almonds, with shell","1989",166330,22317,371200
"United States of America","Almonds, with shell","1990",166330,30049,499800
"United States of America","Almonds, with shell","1991",163900,22648,371200
"United States of America","Almonds, with shell","1992",162280,25401,412200
"United States of America","Almonds, with shell","1993",167130,21767,363800
"United States of America","Almonds, with shell","1994",175230,30246,530000
"United States of America","Almonds, with shell","1995",169160,16316,276000
"United States of America","Almonds, with shell","1996",173200,22258,385500
"United States of America","Almonds, with shell","1997",181220,30295,549000
"United States of America","Almonds, with shell","1998",188600,20838,393000
"United States of America","Almonds, with shell","1999",196800,32063,631000
"United States of America","Almonds, with shell","2000",202340,26342,533000
"United States of America","Almonds, with shell","2001",214483,28402,609178
"United States of America","Almonds, with shell","2002",220554,36275,800051
"United States of America","Almonds, with shell","2003",222577,35325,786262
"United States of America","Almonds, with shell","2004",230671,34074,785985
"United States of America","Almonds, with shell","2005",234718,29969,703431
"United States of America","Almonds, with shell","2006",234718,36049,846131
"United States of America","Almonds, with shell","2007",259002,46830,1212900
"United States of America","Almonds, with shell","2008",275189,51238,1410000
"United States of America","Almonds, with shell","2009",291374,39887,1162200
"United States of America","Almonds, with shell","2010",311608,45371,1413800
"United States of America","Almonds, with shell","2011",323749,56883,1841587
"United States of America","Almonds, with shell","2012",331854,49871,1655000
"United States of America","Almonds, with shell","2013",343983,50375,1732800
"United States of America","Almonds, with shell","2014",352077,43897,1545500
"United States of America","Almonds, with shell","2015",372311,34998,1302998
"United States of America","Almonds, with shell","2016",392550,35061,1376337
"United States of America","Almonds, with shell","2017",416840,35422,1476539
"United States of America","Almonds, with shell","2018",441107,42450,1872500
"United States of America","Apples","1961",184780,139842,2584000
"United States of America","Apples","1962",182390,141510,2581000
"United States of America","Apples","1963",182390,143045,2609000
"United States of America","Apples","1964",182630,156929,2866000
"United States of America","Apples","1965",175270,158906,2785146
"United States of America","Apples","1966",170290,153463,2613313
"United States of America","Apples","1967",166240,147490,2451881
"United States of America","Apples","1968",163450,151143,2470433
"United States of America","Apples","1969",162840,189960,3093302
"United States of America","Apples","1970",162880,178164,2901933
"United States of America","Apples","1971",162760,177612,2890820
"United States of America","Apples","1972",163980,162615,2666565
"United States of America","Apples","1973",161510,175948,2841741
"United States of America","Apples","1974",160250,186239,2984486
"United States of America","Apples","1975",160090,213351,3415533
"United States of America","Apples","1976",163170,179918,2935725
"United States of America","Apples","1977",163250,187260,3057015
"United States of America","Apples","1978",163610,210615,3445880
"United States of America","Apples","1979",164950,223457,3685930
"United States of America","Apples","1980",166810,239794,4e+06
"United States of America","Apples","1981",167900,209090,3510620
"United States of America","Apples","1982",169280,217631,3684060
"United States of America","Apples","1983",171790,221224,3800400
"United States of America","Apples","1984",171140,220621,3775700
"United States of America","Apples","1985",174300,205967,3590000
"United States of America","Apples","1986",179030,199117,3564800
"United States of America","Apples","1987",183040,266204,4872600
"United States of America","Apples","1988",187605,220676,4140000
"United States of America","Apples","1989",194600,232220,4519000
"United States of America","Apples","1990",191600,228601,4380000
"United States of America","Apples","1991",181785,242203,4402885
"United States of America","Apples","1992",184152,260317,4793791
"United States of America","Apples","1993",185933,260668,4846680
"United States of America","Apples","1994",187208,278659,5216721
"United States of America","Apples","1995",187208,256308,4798282
"United States of America","Apples","1996",189211,248884,4709151
"United States of America","Apples","1997",189373,247279,4682797
"United States of America","Apples","1998",188685,279976,5282718
"United States of America","Apples","1999",183809,262360,4822413
"United States of America","Apples","2000",175492,273483,4799416
"United States of America","Apples","2001",165638,258045,4274201
"United States of America","Apples","2002",159770,241996,3866376
"United States of America","Apples","2003",157281,253215,3982586
"United States of America","Apples","2004",154533,305621,4722849
"United States of America","Apples","2005",149354,293587,4384832
"United States of America","Apples","2006",145683,305857,4455819
"United States of America","Apples","2007",142000,290344,4122883
"United States of America","Apples","2008",141151,309247,4365055
"United States of America","Apples","2009",139576,314830,4394267
"United States of America","Apples","2010",136217,309087,4210290
"United States of America","Apples","2011",133870,319842,4281731
"United States of America","Apples","2012",131604,309933,4078839
"United States of America","Apples","2013",130661,362135,4731694
"United States of America","Apples","2014",128763,416171,5358740
"United States of America","Apples","2015",131030,347767,4556790
"United States of America","Apples","2016",133060,391856,5214040
"United States of America","Apples","2017",132820,394569,5240670
"United States of America","Apples","2018",117844,394802,4652500
"United States of America","Apricots","1961",16070,107146,172183
"United States of America","Apricots","1962",15540,96730,150319
"United States of America","Apricots","1963",15580,115581,180075
"United States of America","Apricots","1964",16030,124560,199670
"United States of America","Apricots","1965",15460,132615,205023
"United States of America","Apricots","1966",15180,115638,175539
"United States of America","Apricots","1967",14930,89640,133832
"United States of America","Apricots","1968",14770,91689,135424
"United States of America","Apricots","1969",14730,140788,207381
"United States of America","Apricots","1970",13760,115376,158757
"United States of America","Apricots","1971",13030,129811,169144
"United States of America","Apricots","1972",12460,92905,115760
"United States of America","Apricots","1973",11860,120779,143244
"United States of America","Apricots","1974",12060,70371,84867
"United States of America","Apricots","1975",11980,138273,165651
"United States of America","Apricots","1976",11490,122063,140250
"United States of America","Apricots","1977",11410,117194,133718
"United States of America","Apricots","1978",11290,101408,114490
"United States of America","Apricots","1979",10040,130299,130820
"United States of America","Apricots","1980",10040,116564,117030
"United States of America","Apricots","1981",9430,86002,81100
"United States of America","Apricots","1982",9100,117835,107230
"United States of America","Apricots","1983",8820,95658,84370
"United States of America","Apricots","1984",8460,136395,115390
"United States of America","Apricots","1985",8093,146843,118840
"United States of America","Apricots","1986",7930,62547,49600
"United States of America","Apricots","1987",7770,133591,103800
"United States of America","Apricots","1988",7770,119048,92500
"United States of America","Apricots","1989",7580,143799,109000
"United States of America","Apricots","1990",7420,149710,111085
"United States of America","Apricots","1991",7590,114503,86908
"United States of America","Apricots","1992",7928,121751,96524
"United States of America","Apricots","1993",8413,104973,88314
"United States of America","Apricots","1994",8616,161305,138980
"United States of America","Apricots","1995",8575,64005,54884
"United States of America","Apricots","1996",8733,82376,71939
"United States of America","Apricots","1997",8660,145851,126307
"United States of America","Apricots","1998",8652,124239,107492
"United States of America","Apricots","1999",8248,99539,82100
"United States of America","Apricots","2000",8248,106579,87906
"United States of America","Apricots","2001",7835,95477,74806
"United States of America","Apricots","2002",7017,116406,81682
"United States of America","Apricots","2003",6694,132242,88523
"United States of America","Apricots","2004",6006,152752,91743
"United States of America","Apricots","2005",5641,131308,74071
"United States of America","Apricots","2006",5281,76408,40351
"United States of America","Apricots","2007",5119,156767,80249
"United States of America","Apricots","2008",5038,146953,74035
"United States of America","Apricots","2009",4998,124732,62341
"United States of America","Apricots","2010",4917,122471,60219
"United States of America","Apricots","2011",4796,126072,60464
"United States of America","Apricots","2012",4593,120089,55157
"United States of America","Apricots","2013",4391,126099,55370
"United States of America","Apricots","2014",4379,134508,58901
"United States of America","Apricots","2015",3893,97072,37790
"United States of America","Apricots","2016",4450,130584,58110
"United States of America","Apricots","2017",4570,90613,41410
"United States of America","Apricots","2018",4290,83636,35880
"United States of America","Artichokes","1961",3440,67247,23133
"United States of America","Artichokes","1962",3237,61656,19958
"United States of America","Artichokes","1963",3237,67260,21772
"United States of America","Artichokes","1964",3521,72914,25673
"United States of America","Artichokes","1965",3723,78461,29211
"United States of America","Artichokes","1966",3602,84120,30300
"United States of America","Artichokes","1967",3885,85230,33112
"United States of America","Artichokes","1968",3885,67251,26127
"United States of America","Artichokes","1969",4087,72917,29801
"United States of America","Artichokes","1970",4451,68380,30436
"United States of America","Artichokes","1971",4451,80710,35924
"United States of America","Artichokes","1972",4492,71694,32205
"United States of America","Artichokes","1973",4856,56044,27215
"United States of America","Artichokes","1974",4371,72848,31842
"United States of America","Artichokes","1975",4128,80654,33294
"United States of America","Artichokes","1976",4290,85219,36559
"United States of America","Artichokes","1977",4371,73990,32341
"United States of America","Artichokes","1978",4006,59443,23813
"United States of America","Artichokes","1979",3925,100887,39598
"United States of America","Artichokes","1980",3729,114411,42664
"United States of America","Artichokes","1981",3937,146492,57674
"United States of America","Artichokes","1982",4638,113702,52735
"United States of America","Artichokes","1983",4791,84485,40477
"United States of America","Artichokes","1984",5000,99660,49830
"United States of America","Artichokes","1985",4869,124642,60688
"United States of America","Artichokes","1986",5406,88246,47706
"United States of America","Artichokes","1987",4502,122574,55183
"United States of America","Artichokes","1988",4814,117441,56536
"United States of America","Artichokes","1989",4616,127366,58792
"United States of America","Artichokes","1990",4015,125895,50547
"United States of America","Artichokes","1991",3966,137968,54718
"United States of America","Artichokes","1992",3885,128906,50080
"United States of America","Artichokes","1993",3720,123387,45900
"United States of America","Artichokes","1994",3720,145833,54250
"United States of America","Artichokes","1995",3602,103134,37149
"United States of America","Artichokes","1996",3602,112077,40370
"United States of America","Artichokes","1997",3764,112062,42180
"United States of America","Artichokes","1998",3930,100763,39600
"United States of America","Artichokes","1999",3970,128539,51030
"United States of America","Artichokes","2000",3560,128933,45900
"United States of America","Artichokes","2001",3240,140000,45360
"United States of America","Artichokes","2002",3320,128825,42770
"United States of America","Artichokes","2003",2910,157113,45720
"United States of America","Artichokes","2004",3040,123092,37420
"United States of America","Artichokes","2005",3200,123188,39420
"United States of America","Artichokes","2006",3520,96761,34060
"United States of America","Artichokes","2007",3890,123136,47900
"United States of America","Artichokes","2008",3560,145758,51890
"United States of America","Artichokes","2009",3480,140115,48760
"United States of America","Artichokes","2010",2910,134674,39190
"United States of America","Artichokes","2011",2995,151299,45314
"United States of America","Artichokes","2012",2950,162847,48040
"United States of America","Artichokes","2013",2870,151568,43500
"United States of America","Artichokes","2014",2950,145932,43050
"United States of America","Artichokes","2015",2750,151418,41640
"United States of America","Artichokes","2016",2750,162618,44720
"United States of America","Artichokes","2017",2914,145697,42456
"United States of America","Artichokes","2018",2792,162543,45382
"United States of America","Asparagus","1961",59751,28027,167465
"United States of America","Asparagus","1962",59071,28572,168780
"United States of America","Asparagus","1963",58747,29000,170368
"United States of America","Asparagus","1964",58569,27284,159800
"United States of America","Asparagus","1965",53106,28015,148778
"United States of America","Asparagus","1966",51844,29038,150547
"United States of America","Asparagus","1967",50957,27132,138254
"United States of America","Asparagus","1968",49112,29573,145240
"United States of America","Asparagus","1969",46680,27353,127686
"United States of America","Asparagus","1970",45429,27508,124965
"United States of America","Asparagus","1971",46202,27401,126597
"United States of America","Asparagus","1972",48185,27214,131133
"United States of America","Asparagus","1973",46692,24724,115439
"United States of America","Asparagus","1974",45522,25947,118115
"United States of America","Asparagus","1975",41520,23390,97114
"United States of America","Asparagus","1976",37473,27864,104416
"United States of America","Asparagus","1977",34722,28491,98928
"United States of America","Asparagus","1978",33925,24882,84413
"United States of America","Asparagus","1979",32642,26555,86681
"United States of America","Asparagus","1980",33569,22579,75795
"United States of America","Asparagus","1981",33180,23404,77655
"United States of America","Asparagus","1982",32700,22936,75000
"United States of America","Asparagus","1983",33600,23006,77300
"United States of America","Asparagus","1984",36394,23631,86001
"United States of America","Asparagus","1985",37009,26179,96887
"United States of America","Asparagus","1986",38920,25976,101100
"United States of America","Asparagus","1987",40400,26351,106460
"United States of America","Asparagus","1988",40840,26900,109860
"United States of America","Asparagus","1989",39870,28385,113170
"United States of America","Asparagus","1990",38280,28997,111000
"United States of America","Asparagus","1991",36140,28188,101870
"United States of America","Asparagus","1992",34850,30588,106600
"United States of America","Asparagus","1993",32840,30429,99930
"United States of America","Asparagus","1994",31060,32090,99670
"United States of America","Asparagus","1995",29275,33407,97800
"United States of America","Asparagus","1996",29768,30308,90220
"United States of America","Asparagus","1997",29960,30674,91900
"United States of America","Asparagus","1998",30120,29804,89770
"United States of America","Asparagus","1999",30710,32139,98700
"United States of America","Asparagus","2000",31323,32901,103056
"United States of America","Asparagus","2001",28389,33202,94256
"United States of America","Asparagus","2002",26710,31723,84731
"United States of America","Asparagus","2003",23472,35616,83597
"United States of America","Asparagus","2004",24888,37581,93531
"United States of America","Asparagus","2005",19951,34876,69581
"United States of America","Asparagus","2006",17483,29914,52299
"United States of America","Asparagus","2007",15621,38416,60010
"United States of America","Asparagus","2008",13030,33139,43180
"United States of America","Asparagus","2009",11820,34501,40780
"United States of America","Asparagus","2010",11330,31986,36240
"United States of America","Asparagus","2011",10846,34294,37195
"United States of America","Asparagus","2012",10240,33711,34520
"United States of America","Asparagus","2013",9910,34874,34560
"United States of America","Asparagus","2014",9630,34995,33700
"United States of America","Asparagus","2015",8780,36390,31950
"United States of America","Asparagus","2016",10480,36050,37780
"United States of America","Asparagus","2017",10640,35855,38150
"United States of America","Asparagus","2018",8780,40387,35460
"United States of America","Avocados","1961",10480,48990,51342
"United States of America","Avocados","1962",10640,44532,47382
"United States of America","Avocados","1963",10930,50850,55579
"United States of America","Avocados","1964",10840,31137,33752
"United States of America","Avocados","1965",9750,57109,55681
"United States of America","Avocados","1966",9670,57605,55704
"United States of America","Avocados","1967",9750,75282,73400
"United States of America","Avocados","1968",10000,47811,47811
"United States of America","Avocados","1969",9510,70788,67319
"United States of America","Avocados","1970",9630,43462,41854
"United States of America","Avocados","1971",9910,78900,78190
"United States of America","Avocados","1972",10200,40829,41646
"United States of America","Avocados","1973",10840,75050,81354
"United States of America","Avocados","1974",12140,55498,67374
"United States of America","Avocados","1975",13310,59916,79748
"United States of America","Avocados","1976",15460,83134,128525
"United States of America","Avocados","1977",18010,59287,106775
"United States of America","Avocados","1978",20720,63967,132540
"United States of America","Avocados","1979",24040,38602,92800
"United States of America","Avocados","1980",27150,89816,243850
"United States of America","Avocados","1981",29540,56137,165830
"United States of America","Avocados","1982",31560,68039,214730
"United States of America","Avocados","1983",33590,74001,248570
"United States of America","Avocados","1984",33990,61253,208200
"United States of America","Avocados","1985",34480,49594,171000
"United States of America","Avocados","1986",34920,78723,274900
"United States of America","Avocados","1987",34840,54420,189600
"United States of America","Avocados","1988",34960,50086,175100
"United States of America","Avocados","1989",34760,36277,126100
"United States of America","Avocados","1990",33790,41876,141500
"United States of America","Avocados","1991",33350,50315,167800
"United States of America","Avocados","1992",32990,80186,264535
"United States of America","Avocados","1993",29520,44161,130362
"United States of America","Avocados","1994",27200,58364,158750
"United States of America","Avocados","1995",27160,63461,172360
"United States of America","Avocados","1996",26630,64964,173000
"United States of America","Avocados","1997",26730,60333,161270
"United States of America","Avocados","1998",26560,54405,144500
"United States of America","Avocados","1999",26358,63088,166288
"United States of America","Avocados","2000",26395,82247,217091
"United States of America","Avocados","2001",26155,77450,202570
"United States of America","Avocados","2002",26568,68087,180894
"United States of America","Avocados","2003",27074,78207,211737
"United States of America","Avocados","2004",27790,58564,162749
"United States of America","Avocados","2005",27357,103595,283405
"United States of America","Avocados","2006",29070,84967,247000
"United States of America","Avocados","2007",29684,65052,193100
"United States of America","Avocados","2008",29473,35704,105230
"United States of America","Avocados","2009",26819,100978,270813
"United States of America","Avocados","2010",24253,65208,158150
"United States of America","Avocados","2011",24261,84676,205432
"United States of America","Avocados","2012",25000,95398,238495
"United States of America","Avocados","2013",24767,67067,166106
"United States of America","Avocados","2014",23876,75023,179124
"United States of America","Avocados","2015",23990,86599,207750
"United States of America","Avocados","2016",23350,53635,125237
"United States of America","Avocados","2017",23528,72365,170261
"United States of America","Avocados","2018",21707,77638,168528
"United States of America","Bananas","1961",380,105447,4007
"United States of America","Bananas","1962",360,97139,3497
"United States of America","Bananas","1963",308,91981,2833
"United States of America","Bananas","1964",360,114667,4128
"United States of America","Bananas","1965",384,84583,3248
"United States of America","Bananas","1966",409,97531,3989
"United States of America","Bananas","1967",409,89780,3672
"United States of America","Bananas","1968",388,75825,2942
"United States of America","Bananas","1969",376,74441,2799
"United States of America","Bananas","1970",308,82338,2536
"United States of America","Bananas","1971",293,72765,2132
"United States of America","Bananas","1972",291,79485,2313
"United States of America","Bananas","1973",267,112097,2993
"United States of America","Bananas","1974",247,121215,2994
"United States of America","Bananas","1975",255,110275,2812
"United States of America","Bananas","1976",223,101480,2263
"United States of America","Bananas","1977",223,117982,2631
"United States of America","Bananas","1978",230,112609,2590
"United States of America","Bananas","1979",250,101600,2540
"United States of America","Bananas","1980",230,90870,2090
"United States of America","Bananas","1981",260,104615,2720
"United States of America","Bananas","1982",290,90690,2630
"United States of America","Bananas","1983",350,58286,2040
"United States of America","Bananas","1984",350,115429,4040
"United States of America","Bananas","1985",340,108824,3700
"United States of America","Bananas","1986",397,110831,4400
"United States of America","Bananas","1987",433,119400,5170
"United States of America","Bananas","1988",433,138568,6000
"United States of America","Bananas","1989",405,134321,5440
"United States of America","Bananas","1990",360,142389,5126
"United States of America","Bananas","1991",360,143639,5171
"United States of America","Bananas","1992",352,154545,5440
"United States of America","Bananas","1993",336,159226,5350
"United States of America","Bananas","1994",356,175843,6260
"United States of America","Bananas","1995",356,165730,5900
"United States of America","Bananas","1996",388,152062,5900
"United States of America","Bananas","1997",384,161719,6210
"United States of America","Bananas","1998",575,165652,9525
"United States of America","Bananas","1999",575,194052,11158
"United States of America","Bananas","2000",591,222572,13154
"United States of America","Bananas","2001",603,210630,12701
"United States of America","Bananas","2002",538,168587,9070
"United States of America","Bananas","2003",546,187747,10251
"United States of America","Bananas","2004",405,185926,7530
"United States of America","Bananas","2005",397,238791,9480
"United States of America","Bananas","2006",405,190370,7710
"United States of America","Bananas","2007",526,220760,11612
"United States of America","Bananas","2008",445,177303,7890
"United States of America","Bananas","2009",445,188539,8390
"United States of America","Bananas","2010",445,181438,8074
"United States of America","Bananas","2011",405,194889,7893
"United States of America","Bananas","2012",396,181845,7202
"United States of America","Bananas","2013",364,181923,6622
"United States of America","Bananas","2014",348,187701,6532
"United States of America","Bananas","2015",336,161994,5443
"United States of America","Bananas","2016",294,115204,3387
"United States of America","Bananas","2017",252,158413,3992
"United States of America","Bananas","2018",261,163756,4274
"United States of America","Barley","1961",5183000,16489,8546000
"United States of America","Barley","1962",4944000,18839,9314000
"United States of America","Barley","1963",4548000,18808,8554000
"United States of America","Barley","1964",4160000,20209,8406892
"United States of America","Barley","1965",3709944,23071,8559056
"United States of America","Barley","1966",4148617,20582,8538543
"United States of America","Barley","1967",3735924,21785,8138822
"United States of America","Barley","1968",3939115,23557,9279401
"United States of America","Barley","1969",3868013,24039,9298494
"United States of America","Barley","1970",3930859,23049,9060146
"United States of America","Barley","1971",4090141,24617,10068853
"United States of America","Barley","1972",3904272,23517,9181666
"United States of America","Barley","1973",4167435,21808,9088373
"United States of America","Barley","1974",3209112,20263,6502621
"United States of America","Barley","1975",3487128,23673,8255115
"United States of America","Barley","1976",3415095,24418,8338828
"United States of America","Barley","1977",3936727,23659,9313713
"United States of America","Barley","1978",3742570,26456,9901210
"United States of America","Barley","1979",3046000,27390,8343000
"United States of America","Barley","1980",2938000,26762,7862600
"United States of America","Barley","1981",3657500,28187,10309300
"United States of America","Barley","1982",3647400,30797,11232900
"United States of America","Barley","1983",3937900,28101,11066000
"United States of America","Barley","1984",4540000,28678,13020000
"United States of America","Barley","1985",4691000,27393,12850000
"United States of America","Barley","1986",4846000,27340,13249000
"United States of America","Barley","1987",4029500,28178,11354300
"United States of America","Barley","1988",3090000,20434,6314000
"United States of America","Barley","1989",3364000,26159,8800000
"United States of America","Barley","1990",3047000,30167,9192000
"United States of America","Barley","1991",3404660,29693,10109510
"United States of America","Barley","1992",2948170,33609,9908420
"United States of America","Barley","1993",2732870,31711,8666320
"United States of America","Barley","1994",2698070,30250,8161660
"United States of America","Barley","1995",2541050,30792,7824490
"United States of America","Barley","1996",2714260,31479,8544220
"United States of America","Barley","1997",2508270,31238,7835420
"United States of America","Barley","1998",2369060,32310,7654510
"United States of America","Barley","1999",1850650,32000,5922010
"United States of America","Barley","2000",2104390,32881,6919370
"United States of America","Barley","2001",1729240,31267,5406730
"United States of America","Barley","2002",1668540,29609,4940300
"United States of America","Barley","2003",1912970,31673,6058900
"United States of America","Barley","2004",1627260,37429,6090680
"United States of America","Barley","2005",1322930,34873,4613490
"United States of America","Barley","2006",1194240,32846,3922630
"United States of America","Barley","2007",1417220,32279,4574610
"United States of America","Barley","2008",1527700,34072,5205180
"United States of America","Barley","2009",1260200,39150,4933700
"United States of America","Barley","2010",997560,39339,3924280
"United States of America","Barley","2011",906910,37160,3370110
"United States of America","Barley","2012",1324960,35986,4767940
"United States of America","Barley","2013",1230260,38358,4719070
"United States of America","Barley","2014",1010510,39115,3952610
"United States of America","Barley","2015",1258180,37083,4665770
"United States of America","Barley","2016",1038030,41931,4352610
"United States of America","Barley","2017",794000,39283,3119070
"United States of America","Barley","2018",800480,41637,3332970
"United States of America","Beans, dry","1961",581120,15413,895679
"United States of America","Beans, dry","1962",581930,14049,817569
"United States of America","Beans, dry","1963",563719,16153,910557
"United States of America","Beans, dry","1964",570194,13886,791749
"United States of America","Beans, dry","1965",610257,12302,750719
"United States of America","Beans, dry","1966",610287,14835,905366
"United States of America","Beans, dry","1967",501399,13769,690364
"United States of America","Beans, dry","1968",576264,13723,790834
"United States of America","Beans, dry","1969",594475,14431,857875
"United States of America","Beans, dry","1970",570194,13841,789201
"United States of America","Beans, dry","1971",524465,13785,722977
"United States of America","Beans, dry","1972",554816,14702,815691
"United States of America","Beans, dry","1973",538912,13697,738172
"United States of America","Beans, dry","1974",614223,15013,922148
"United States of America","Beans, dry","1975",593301,13335,791152
"United States of America","Beans, dry","1976",602690,13424,809023
"United States of America","Beans, dry","1977",513903,14612,750918
"United States of America","Beans, dry","1978",588580,14592,858870
"United States of America","Beans, dry","1979",561600,16599,932220
"United States of America","Beans, dry","1980",752300,16116,1212400
"United States of America","Beans, dry","1981",918600,16172,1485560
"United States of America","Beans, dry","1982",719100,16124,1159500
"United States of America","Beans, dry","1983",460930,15273,703970
"United States of America","Beans, dry","1984",591000,16171,955720
"United States of America","Beans, dry","1985",599500,16871,1011400
"United States of America","Beans, dry","1986",605000,17213,1041400
"United States of America","Beans, dry","1987",673800,17524,1180750
"United States of America","Beans, dry","1988",547500,15951,873300
"United States of America","Beans, dry","1989",668100,16110,1076330
"United States of America","Beans, dry","1990",843500,17416,1469000
"United States of America","Beans, dry","1991",774460,19776,1531600
"United States of America","Beans, dry","1992",619140,16571,1026000
"United States of America","Beans, dry","1993",654800,15144,991600
"United States of America","Beans, dry","1994",741000,17719,1313000
"United States of America","Beans, dry","1995",767400,18139,1392000
"United States of America","Beans, dry","1996",706500,17919,1266000
"United States of America","Beans, dry","1997",711750,18714,1332000
"United States of America","Beans, dry","1998",776070,17778,1379700
"United States of America","Beans, dry","1999",759600,19756,1500700
"United States of America","Beans, dry","2000",654181,18404,1203970
"United States of America","Beans, dry","2001",505863,17584,889495
"United States of America","Beans, dry","2002",703715,19538,1374929
"United States of America","Beans, dry","2003",545077,18717,1020220
"United States of America","Beans, dry","2004",490606,16404,804809
"United States of America","Beans, dry","2005",617800,19512,1205467
"United States of America","Beans, dry","2006",619823,17677,1095652
"United States of America","Beans, dry","2007",598617,19387,1160561
"United States of America","Beans, dry","2008",584860,19822,1159290
"United States of America","Beans, dry","2009",592061,19429,1150310
"United States of America","Beans, dry","2010",745720,19343,1442470
"United States of America","Beans, dry","2011",472633,19089,902196
"United States of America","Beans, dry","2012",684090,21168,1448090
"United States of America","Beans, dry","2013",532690,20927,1114750
"United States of America","Beans, dry","2014",667170,19655,1311340
"United States of America","Beans, dry","2015",692530,19729,1366270
"United States of America","Beans, dry","2016",630550,20648,1301950
"United States of America","Beans, dry","2017",818560,19927,1631160
"United States of America","Beans, dry","2018",815850,20843,1700510
"United States of America","Beans, green","1961",47174,48340,228038
"United States of America","Beans, green","1962",43556,49198,214285
"United States of America","Beans, green","1963",35025,48797,170912
"United States of America","Beans, green","1964",36081,40138,144823
"United States of America","Beans, green","1965",38797,48648,188739
"United States of America","Beans, green","1966",43766,46192,202165
"United States of America","Beans, green","1967",43790,50913,222949
"United States of America","Beans, green","1968",46623,47389,220944
"United States of America","Beans, green","1969",37710,50495,190417
"United States of America","Beans, green","1970",32629,47265,154221
"United States of America","Beans, green","1971",32832,48023,157668
"United States of America","Beans, green","1972",34183,51432,175811
"United States of America","Beans, green","1973",35422,53449,189328
"United States of America","Beans, green","1974",33872,51235,173544
"United States of America","Beans, green","1975",35167,52805,185700
"United States of America","Beans, green","1976",23552,47185,111130
"United States of America","Beans, green","1977",28328,52040,147418
"United States of America","Beans, green","1978",27576,54380,149958
"United States of America","Beans, green","1979",26455,61156,161788
"United States of America","Beans, green","1980",20566,54053,111166
"United States of America","Beans, green","1981",20234,58285,117933
"United States of America","Beans, green","1982",20300,58128,118000
"United States of America","Beans, green","1983",20700,55072,114000
"United States of America","Beans, green","1984",19000,57895,110000
"United States of America","Beans, green","1985",20000,58000,116000
"United States of America","Beans, green","1986",21000,58095,122000
"United States of America","Beans, green","1987",20000,58000,116000
"United States of America","Beans, green","1988",18500,58919,109000
"United States of America","Beans, green","1989",16900,60947,103000
"United States of America","Beans, green","1990",14500,63448,92000
"United States of America","Beans, green","1991",14736,61073,90000
"United States of America","Beans, green","1992",12660,57314,72560
"United States of America","Beans, green","1993",15010,56995,85550
"United States of America","Beans, green","1994",19140,61076,116900
"United States of America","Beans, green","1995",21160,61323,129760
"United States of America","Beans, green","1996",20560,66231,136170
"United States of America","Beans, green","1997",22030,65946,145280
"United States of America","Beans, green","1998",21300,65155,138780
"United States of America","Beans, green","1999",23420,56311,131880
"United States of America","Beans, green","2000",22590,53643,121180
"United States of America","Beans, green","2001",23590,59423,140180
"United States of America","Beans, green","2002",20800,57173,118920
"United States of America","Beans, green","2003",18530,58921,109180
"United States of America","Beans, green","2004",16840,57696,97160
"United States of America","Beans, green","2005",15870,61172,97080
"United States of America","Beans, green","2006",17420,55454,96600
"United States of America","Beans, green","2007",15920,30258,48170
"United States of America","Beans, green","2008",15490,28786,44590
"United States of America","Beans, green","2009",14060,30989,43570
"United States of America","Beans, green","2010",17170,32877,56450
"United States of America","Beans, green","2011",12189,31766,38719
"United States of America","Beans, green","2012",13310,41585,55350
"United States of America","Beans, green","2013",11710,37669,44110
"United States of America","Beans, green","2014",11230,40712,45720
"United States of America","Beans, green","2015",9640,47282,45580
"United States of America","Beans, green","2016",10260,33480,34350
"United States of America","Beans, green","2017",9750,31221,30440
"United States of America","Beans, green","2018",9610,32175,30920
"United States of America","Berries nes","1961",2130,65685,13991
"United States of America","Berries nes","1962",2230,69112,15412
