"Area","Item","Unit","Year","Flag","Stocks"
"United States of America","Cattle","Head","1986",NA,105378000
"United States of America","Cattle","Head","1987",NA,102118000
"United States of America","Cattle","Head","1988",NA,99622000
"United States of America","Cattle","Head","1989",NA,96740000
"United States of America","Cattle","Head","1990",NA,95816000
"United States of America","Cattle","Head","1991",NA,96393000
"United States of America","Cattle","Head","1992",NA,97556000
"United States of America","Cattle","Head","1993",NA,99175900
"United States of America","Cattle","Head","1994",NA,100973600
"United States of America","Cattle","Head","1995",NA,102785200
"United States of America","Cattle","Head","1996",NA,103548200
"United States of America","Cattle","Head","1997",NA,101655700
"United States of America","Cattle","Head","1998",NA,99744000
"United States of America","Cattle","Head","1999",NA,99115000
"United States of America","Cattle","Head","2000",NA,98199000
"United States of America","Cattle","Head","2001",NA,97297500
"United States of America","Cattle","Head","2002",NA,96723000
"United States of America","Cattle","Head","2003",NA,96100000
"United States of America","Cattle","Head","2004",NA,94888000
"United States of America","Cattle","Head","2005",NA,95018000
"United States of America","Cattle","Head","2006",NA,96701504
"United States of America","Cattle","Head","2007",NA,96573000
"United States of America","Cattle","Head","2008",NA,96034500
"United States of America","Cattle","Head","2009",NA,94721000
"United States of America","Cattle","Head","2010",NA,94081200
"United States of America","Cattle","Head","2011",NA,92887400
"United States of America","Cattle","Head","2012",NA,91160200
"United States of America","Cattle","Head","2013",NA,90095200
"United States of America","Cattle","Head","2014",NA,88526000
"United States of America","Cattle","Head","2015",NA,89143000
"United States of America","Cattle","Head","2016",NA,91888000
"United States of America","Cattle","Head","2017",NA,93624600
"United States of America","Cattle","Head","2018",NA,94298000
"United States of America","Chickens","1000 Head","1961","F",751000
"United States of America","Chickens","1000 Head","1962","F",782000
"United States of America","Chickens","1000 Head","1963","F",780000
"United States of America","Chickens","1000 Head","1964","F",792000
"United States of America","Chickens","1000 Head","1965","*",833500
"United States of America","Chickens","1000 Head","1966","*",851300
"United States of America","Chickens","1000 Head","1967","*",881700
"United States of America","Chickens","1000 Head","1968","*",887400
"United States of America","Chickens","1000 Head","1969","*",912700
"United States of America","Chickens","1000 Head","1970","*",920900
"United States of America","Chickens","1000 Head","1971","*",925000
"United States of America","Chickens","1000 Head","1972","*",935000
"United States of America","Chickens","1000 Head","1973","*",907000
"United States of America","Chickens","1000 Head","1974","*",909000
"United States of America","Chickens","1000 Head","1975","*",886800
"United States of America","Chickens","1000 Head","1976","*",926000
"United States of America","Chickens","1000 Head","1977","*",954000
"United States of America","Chickens","1000 Head","1978","*",1001000
"United States of America","Chickens","1000 Head","1979","*",1060000
"United States of America","Chickens","1000 Head","1980","*",1053000
"United States of America","Chickens","1000 Head","1981","*",1078000
"United States of America","Chickens","1000 Head","1982","*",1072000
"United States of America","Chickens","1000 Head","1983","*",1064000
"United States of America","Chickens","1000 Head","1984","*",1089000
"United States of America","Chickens","1000 Head","1985","*",1115000
"United States of America","Chickens","1000 Head","1986","*",1145000
"United States of America","Chickens","1000 Head","1987","*",1214000
"United States of America","Chickens","1000 Head","1988","*",1232000
"United States of America","Chickens","1000 Head","1989","*",1278000
"United States of America","Chickens","1000 Head","1990","*",1332000
"United States of America","Chickens","1000 Head","1991","*",1389000
"United States of America","Chickens","1000 Head","1992","*",1440000
"United States of America","Chickens","1000 Head","1993","*",1498000
"United States of America","Chickens","1000 Head","1994","*",1558000
"United States of America","Chickens","1000 Head","1995","*",1611000
"United States of America","Chickens","1000 Head","1996","*",1661000
"United States of America","Chickens","1000 Head","1997","*",1706000
"United States of America","Chickens","1000 Head","1998","*",1726000
"United States of America","Chickens","1000 Head","1999","*",1785000
"United States of America","Chickens","1000 Head","2000","*",1860000
"United States of America","Chickens","1000 Head","2001","*",1900000
"United States of America","Chickens","1000 Head","2002","*",1940000
"United States of America","Chickens","1000 Head","2003","*",1920000
"United States of America","Chickens","1000 Head","2004","*",1965000
"United States of America","Chickens","1000 Head","2005","*",1990000
"United States of America","Chickens","1000 Head","2006","*",1995000
"United States of America","Chickens","1000 Head","2007","*",2005000
"United States of America","Chickens","1000 Head","2008","*",2015000
"United States of America","Chickens","1000 Head","2009","*",1926000
"United States of America","Chickens","1000 Head","2010","*",1956000
"United States of America","Chickens","1000 Head","2011","*",1932000
"United States of America","Chickens","1000 Head","2012","*",1929600
"United States of America","Chickens","1000 Head","2013","*",1945900
"United States of America","Chickens","1000 Head","2014","*",1982900
"United States of America","Chickens","1000 Head","2015","Im",2006102
"United States of America","Chickens","1000 Head","2016","Im",1973698
"United States of America","Chickens","1000 Head","2017","Im",1973073
"United States of America","Chickens","1000 Head","2018","Im",1973380
"United States of America","Ducks","1000 Head","1961","F",3500
"United States of America","Ducks","1000 Head","1962","F",3400
"United States of America","Ducks","1000 Head","1963","F",3700
"United States of America","Ducks","1000 Head","1964","F",3600
"United States of America","Ducks","1000 Head","1965","F",3600
"United States of America","Ducks","1000 Head","1966","F",3600
"United States of America","Ducks","1000 Head","1967","F",3700
"United States of America","Ducks","1000 Head","1968","F",3700
"United States of America","Ducks","1000 Head","1969","F",3500
"United States of America","Ducks","1000 Head","1970","F",3500
"United States of America","Ducks","1000 Head","1971","F",3500
"United States of America","Ducks","1000 Head","1972","F",3600
"United States of America","Ducks","1000 Head","1973","F",3600
"United States of America","Ducks","1000 Head","1974","F",3400
"United States of America","Ducks","1000 Head","1975","F",3400
"United States of America","Ducks","1000 Head","1976","F",4200
"United States of America","Ducks","1000 Head","1977","F",4500
"United States of America","Ducks","1000 Head","1978","F",4500
"United States of America","Ducks","1000 Head","1979","F",4800
"United States of America","Ducks","1000 Head","1980","F",4800
"United States of America","Ducks","1000 Head","1981","F",5300
"United States of America","Ducks","1000 Head","1982","F",5700
"United States of America","Ducks","1000 Head","1983","F",5900
"United States of America","Ducks","1000 Head","1984","F",5900
"United States of America","Ducks","1000 Head","1985","F",6300
"United States of America","Ducks","1000 Head","1986","F",6600
"United States of America","Ducks","1000 Head","1987","F",6700
"United States of America","Ducks","1000 Head","1988","F",6900
"United States of America","Ducks","1000 Head","1989","F",6400
"United States of America","Ducks","1000 Head","1990","F",6300
"United States of America","Ducks","1000 Head","1991","F",6000
"United States of America","Ducks","1000 Head","1992","F",5600
"United States of America","Ducks","1000 Head","1993","F",6100
"United States of America","Ducks","1000 Head","1994","F",6150
"United States of America","Ducks","1000 Head","1995","F",5800
"United States of America","Ducks","1000 Head","1996","F",6500
"United States of America","Ducks","1000 Head","1997","F",7200
"United States of America","Ducks","1000 Head","1998","F",6600
"United States of America","Ducks","1000 Head","1999","F",6600
"United States of America","Ducks","1000 Head","2000","F",6600
"United States of America","Ducks","1000 Head","2001","F",7900
"United States of America","Ducks","1000 Head","2002","F",6650
"United States of America","Ducks","1000 Head","2003","F",6700
"United States of America","Ducks","1000 Head","2004","F",6900
"United States of America","Ducks","1000 Head","2005","F",6900
"United States of America","Ducks","1000 Head","2006","F",6900
"United States of America","Ducks","1000 Head","2007","F",6900
"United States of America","Ducks","1000 Head","2008","F",6900
"United States of America","Ducks","1000 Head","2009","F",6800
"United States of America","Ducks","1000 Head","2010","F",6900
"United States of America","Ducks","1000 Head","2011","F",7000
"United States of America","Ducks","1000 Head","2012","F",7200
"United States of America","Ducks","1000 Head","2013","F",7300
"United States of America","Ducks","1000 Head","2014","F",7800
"United States of America","Ducks","1000 Head","2015","Im",7577
"United States of America","Ducks","1000 Head","2016","Im",7373
"United States of America","Ducks","1000 Head","2017","Im",7319
"United States of America","Ducks","1000 Head","2018","Im",7373
"United States of America","Goats","Head","1961",NA,3473000
"United States of America","Goats","Head","1962",NA,3647000
"United States of America","Goats","Head","1963",NA,3683000
"United States of America","Goats","Head","1964",NA,3904000
"United States of America","Goats","Head","1965",NA,4060000
"United States of America","Goats","Head","1966",NA,4222000
"United States of America","Goats","Head","1967",NA,3969000
"United States of America","Goats","Head","1968",NA,3572000
"United States of America","Goats","Head","1969",NA,3215000
"United States of America","Goats","Head","1970",NA,2572000
"United States of America","Goats","Head","1971",NA,2133000
"United States of America","Goats","Head","1972",NA,1650000
"United States of America","Goats","Head","1973",NA,1775000
"United States of America","Goats","Head","1974",NA,1560000
"United States of America","Goats","Head","1975",NA,1350000
"United States of America","Goats","Head","1976",NA,1270000
"United States of America","Goats","Head","1977",NA,1400000
"United States of America","Goats","Head","1978",NA,1355000
"United States of America","Goats","Head","1979",NA,1360000
"United States of America","Goats","Head","1980",NA,1400000
"United States of America","Goats","Head","1981",NA,1380000
"United States of America","Goats","Head","1982",NA,1410000
"United States of America","Goats","Head","1983",NA,1420000
"United States of America","Goats","Head","1984",NA,1420000
